fold,method,params,sample_accuracy,sample_count,sample_macro_f1,sample_weighted_f1,seconds,test_subjects,train_subjects,trial_accuracy,trial_count,trial_macro_f1,trial_weighted_f1,val_subjects
loso_test_p5_val_p6,stats_rf,0,0.6866818873668189,26280,0.6323241446851984,0.6323241446851985,215.69,p5,"p1,p2,p3,p4,p7",0.7,30,0.6166666666666666,0.6166666666666667,p6
loso_test_p5_val_p6,stats_knn,0,0.6229071537290716,26280,0.5880439749420117,0.5880439749420117,226.57,p5,"p1,p2,p3,p4,p7",0.7,30,0.6166666666666666,0.6166666666666667,p6
loso_test_p5_val_p6,pointnet_gru,292875,0.7767123287671233,26280,0.7487113951187954,0.7487113951187954,1654.09,p5,"p1,p2,p3,p4,p7",0.7666666666666667,30,0.7066666666666667,0.7066666666666668,p6
loso_test_p5_val_p6,pointnet_tcn,120075,0.8784627092846271,26280,0.8571263242443266,0.8571263242443266,1629.05,p5,"p1,p2,p3,p4,p7",0.9,30,0.8666666666666666,0.8666666666666667,p6
loso_test_p5_val_p6,robhar_like,209963,0.7527016742770167,26280,0.7374243655253342,0.737424365525334,1640.31,p5,"p1,p2,p3,p4,p7",0.8,30,0.7633333333333333,0.7633333333333333,p6
loso_test_p5_val_p6,pct_gru,533003,0.8406392694063927,26280,0.8345354772559098,0.83453547725591,3059.17,p5,"p1,p2,p3,p4,p7",0.9333333333333333,30,0.925,0.925,p6
loso_test_p5_val_p6,dgcnn_gru,301067,0.8220700152207001,26280,0.8237924062939067,0.8237924062939066,5058.33,p5,"p1,p2,p3,p4,p7",0.9,30,0.8966666666666667,0.8966666666666666,p6
loso_test_p5_val_p6,radar_stnet,813947,0.9570776255707762,26280,0.9558828665839805,0.9558828665839805,2287.24,p5,"p1,p2,p3,p4,p7",1.0,30,1.0,1.0,p6
loso_test_p6_val_p7,stats_svm,0,0.6892313546423136,26280,0.6493218667598348,0.6493218667598349,224.48,p6,"p1,p2,p3,p4,p5",0.7666666666666667,30,0.7157142857142856,0.7157142857142857,p7
loso_test_p6_val_p7,stats_rf,0,0.6341324200913242,26280,0.5612905708665793,0.5612905708665793,210.95,p6,"p1,p2,p3,p4,p5",0.6333333333333333,30,0.5416666666666666,0.5416666666666666,p7
loso_test_p6_val_p7,stats_knn,0,0.642351598173516,26280,0.5902235184247349,0.5902235184247349,221.15,p6,"p1,p2,p3,p4,p5",0.7,30,0.6407142857142857,0.6407142857142857,p7
loso_test_p6_val_p7,pointnet_gru,292875,0.8931887366818874,26280,0.861433413256316,0.8614334132563163,1637.18,p6,"p1,p2,p3,p4,p5",0.9,30,0.8666666666666666,0.8666666666666667,p7
loso_test_p6_val_p7,pointnet_tcn,120075,0.8992389649923896,26280,0.8656057182842698,0.8656057182842699,1658.09,p6,"p1,p2,p3,p4,p5",0.9,30,0.8666666666666666,0.8666666666666667,p7
loso_test_p6_val_p7,robhar_like,209963,0.8985920852359208,26280,0.8625405928245954,0.8625405928245954,1638.54,p6,"p1,p2,p3,p4,p5",0.9,30,0.8666666666666666,0.8666666666666667,p7
loso_test_p6_val_p7,pct_gru,533003,0.8869482496194825,26280,0.8541839893865397,0.8541839893865399,3173.6,p6,"p1,p2,p3,p4,p5",0.9,30,0.8666666666666666,0.8666666666666667,p7
loso_test_p6_val_p7,dgcnn_gru,301067,0.8473744292237443,26280,0.8249347064248296,0.8249347064248295,5204.4,p6,"p1,p2,p3,p4,p5",0.9,30,0.8607142857142858,0.8607142857142857,p7
loso_test_p6_val_p7,radar_stnet,813947,0.9974885844748859,26280,0.9974850016008181,0.9974850016008181,2299.19,p6,"p1,p2,p3,p4,p5",1.0,30,1.0,1.0,p7
loso_test_p7_val_p1,stats_svm,0,0.6376712328767123,26280,0.560947542755485,0.560947542755485,224.33,p7,"p2,p3,p4,p5,p6",0.6666666666666666,30,0.565,0.565,p1
loso_test_p7_val_p1,stats_rf,0,0.42404870624048707,26280,0.3016982443967228,0.3016982443967228,214.86,p7,"p2,p3,p4,p5,p6",0.4,30,0.25,0.25,p1
loso_test_p7_val_p1,stats_knn,0,0.4661339421613394,26280,0.4095257010364189,0.40952570103641883,226.67,p7,"p2,p3,p4,p5,p6",0.4666666666666667,30,0.3773809523809524,0.3773809523809524,p1
loso_test_p7_val_p1,pointnet_gru,292875,0.617351598173516,26280,0.5760220978904615,0.5760220978904614,1687.42,p7,"p2,p3,p4,p5,p6",0.6666666666666666,30,0.5928205128205127,0.5928205128205128,p1
loso_test_p7_val_p1,pointnet_tcn,120075,0.6621765601217656,26280,0.6541542073940536,0.6541542073940536,1685.6,p7,"p2,p3,p4,p5,p6",0.7,30,0.6402597402597402,0.6402597402597403,p1
loso_test_p7_val_p1,robhar_like,209963,0.5584474885844749,26280,0.47767593618049525,0.47767593618049536,1684.47,p7,"p2,p3,p4,p5,p6",0.5666666666666667,30,0.4595454545454546,0.4595454545454546,p1
loso_test_p7_val_p1,pct_gru,533003,0.4893074581430746,26280,0.4307207726531965,0.4307207726531966,3126.85,p7,"p2,p3,p4,p5,p6",0.5666666666666667,30,0.4800000000000001,0.4800000000000001,p1
loso_test_p7_val_p1,dgcnn_gru,301067,0.7050228310502283,26280,0.657027398286537,0.657027398286537,5173.15,p7,"p2,p3,p4,p5,p6",0.8,30,0.7333333333333333,0.7333333333333333,p1
loso_test_p7_val_p1,radar_stnet,813947,0.6316971080669711,26280,0.5943669485215392,0.5943669485215392,2228.09,p7,"p2,p3,p4,p5,p6",0.6333333333333333,30,0.5595238095238095,0.5595238095238095,p1
