
=== loso_test_p1_val_p2 | stats_svm ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | stats_rf ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | stats_knn ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]

=== loso_test_p1_val_p2 | pointnet_gru ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]
[loso_test_p1_val_p2] pct_gru epoch 019/30 | train_loss=0.1310 | train_acc=1.0000 | val_f1=0.5155
[loso_test_p1_val_p2] pct_gru epoch 020/30 | train_loss=0.1312 | train_acc=0.9999 | val_f1=0.5529
[loso_test_p1_val_p2] pct_gru epoch 021/30 | train_loss=0.1311 | train_acc=0.9999 | val_f1=0.4748
[loso_test_p1_val_p2] pct_gru epoch 022/30 | train_loss=0.1309 | train_acc=1.0000 | val_f1=0.5233
[loso_test_p1_val_p2] pct_gru epoch 023/30 | train_loss=0.1308 | train_acc=1.0000 | val_f1=0.4978
[loso_test_p1_val_p2] pct_gru epoch 024/30 | train_loss=0.1308 | train_acc=1.0000 | val_f1=0.5401
[loso_test_p1_val_p2] pct_gru epoch 025/30 | train_loss=0.1308 | train_acc=1.0000 | val_f1=0.5638
[loso_test_p1_val_p2] pct_gru epoch 026/30 | train_loss=0.1308 | train_acc=1.0000 | val_f1=0.5918
[loso_test_p1_val_p2] pct_gru epoch 027/30 | train_loss=0.1308 | train_acc=1.0000 | val_f1=0.6088
[loso_test_p1_val_p2] pct_gru epoch 028/30 | train_loss=0.1308 | train_acc=1.0000 | val_f1=0.6063
[loso_test_p1_val_p2] pct_gru epoch 029/30 | train_loss=0.1308 | train_acc=1.0000 | val_f1=0.5986
[loso_test_p1_val_p2] pct_gru epoch 030/30 | train_loss=0.1308 | train_acc=1.0000 | val_f1=0.5951

=== loso_test_p1_val_p2 | dgcnn_gru ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]
[loso_test_p1_val_p2] dgcnn_gru epoch 001/30 | train_loss=0.1980 | train_acc=0.9793 | val_f1=0.8271
[loso_test_p1_val_p2] dgcnn_gru epoch 002/30 | train_loss=0.1397 | train_acc=0.9980 | val_f1=0.8049
[loso_test_p1_val_p2] dgcnn_gru epoch 003/30 | train_loss=0.1361 | train_acc=0.9988 | val_f1=0.8714
[loso_test_p1_val_p2] dgcnn_gru epoch 004/30 | train_loss=0.1351 | train_acc=0.9992 | val_f1=0.8467
[loso_test_p1_val_p2] dgcnn_gru epoch 005/30 | train_loss=0.1341 | train_acc=0.9993 | val_f1=0.8061
[loso_test_p1_val_p2] dgcnn_gru epoch 006/30 | train_loss=0.1341 | train_acc=0.9994 | val_f1=0.8445
[loso_test_p1_val_p2] dgcnn_gru epoch 007/30 | train_loss=0.1324 | train_acc=0.9998 | val_f1=0.8825
[loso_test_p1_val_p2] dgcnn_gru epoch 008/30 | train_loss=0.1340 | train_acc=0.9993 | val_f1=0.8376
[loso_test_p1_val_p2] dgcnn_gru epoch 009/30 | train_loss=0.1328 | train_acc=0.9996 | val_f1=0.7908
[loso_test_p1_val_p2] dgcnn_gru epoch 010/30 | train_loss=0.1326 | train_acc=0.9997 | val_f1=0.8169
[loso_test_p1_val_p2] dgcnn_gru epoch 011/30 | train_loss=0.1321 | train_acc=0.9998 | val_f1=0.8745
[loso_test_p1_val_p2] dgcnn_gru epoch 012/30 | train_loss=0.1318 | train_acc=0.9999 | val_f1=0.7427
[loso_test_p1_val_p2] dgcnn_gru epoch 013/30 | train_loss=0.1320 | train_acc=0.9998 | val_f1=0.7156
[loso_test_p1_val_p2] dgcnn_gru epoch 014/30 | train_loss=0.1319 | train_acc=0.9998 | val_f1=0.7728
[loso_test_p1_val_p2] dgcnn_gru epoch 015/30 | train_loss=0.1317 | train_acc=0.9998 | val_f1=0.8430
[loso_test_p1_val_p2] dgcnn_gru epoch 016/30 | train_loss=0.1312 | train_acc=1.0000 | val_f1=0.7960
[loso_test_p1_val_p2] dgcnn_gru epoch 017/30 | train_loss=0.1313 | train_acc=0.9999 | val_f1=0.7902
[loso_test_p1_val_p2] dgcnn_gru epoch 018/30 | train_loss=0.1315 | train_acc=0.9999 | val_f1=0.7499
[loso_test_p1_val_p2] dgcnn_gru epoch 019/30 | train_loss=0.1310 | train_acc=1.0000 | val_f1=0.7701
[loso_test_p1_val_p2] dgcnn_gru epoch 020/30 | train_loss=0.1312 | train_acc=0.9999 | val_f1=0.8262
[loso_test_p1_val_p2] dgcnn_gru epoch 021/30 | train_loss=0.1311 | train_acc=1.0000 | val_f1=0.8284
[loso_test_p1_val_p2] dgcnn_gru epoch 022/30 | train_loss=0.1310 | train_acc=1.0000 | val_f1=0.7830
[loso_test_p1_val_p2] dgcnn_gru epoch 023/30 | train_loss=0.1311 | train_acc=1.0000 | val_f1=0.8371
[loso_test_p1_val_p2] dgcnn_gru epoch 024/30 | train_loss=0.1310 | train_acc=1.0000 | val_f1=0.8372
[loso_test_p1_val_p2] dgcnn_gru epoch 025/30 | train_loss=0.1309 | train_acc=1.0000 | val_f1=0.7980
[loso_test_p1_val_p2] dgcnn_gru epoch 026/30 | train_loss=0.1309 | train_acc=1.0000 | val_f1=0.8388
[loso_test_p1_val_p2] dgcnn_gru epoch 027/30 | train_loss=0.1310 | train_acc=1.0000 | val_f1=0.8573
[loso_test_p1_val_p2] dgcnn_gru epoch 028/30 | train_loss=0.1310 | train_acc=1.0000 | val_f1=0.7752
[loso_test_p1_val_p2] dgcnn_gru epoch 029/30 | train_loss=0.1310 | train_acc=1.0000 | val_f1=0.7992
[loso_test_p1_val_p2] dgcnn_gru epoch 030/30 | train_loss=0.1309 | train_acc=1.0000 | val_f1=0.8336

=== loso_test_p1_val_p2 | radar_stnet ===
train=[3, 4, 5, 6, 7], val=[2], test=[1]
[loso_test_p1_val_p2] radar_stnet epoch 001/30 | train_loss=0.1973 | train_acc=0.9812 | val_f1=0.7952
[loso_test_p1_val_p2] radar_stnet epoch 002/30 | train_loss=0.1480 | train_acc=0.9972 | val_f1=0.7947
[loso_test_p1_val_p2] radar_stnet epoch 003/30 | train_loss=0.1458 | train_acc=0.9977 | val_f1=0.7510
[loso_test_p1_val_p2] radar_stnet epoch 004/30 | train_loss=0.1439 | train_acc=0.9981 | val_f1=0.8407
[loso_test_p1_val_p2] radar_stnet epoch 005/30 | train_loss=0.1419 | train_acc=0.9987 | val_f1=0.8048
[loso_test_p1_val_p2] radar_stnet epoch 006/30 | train_loss=0.1407 | train_acc=0.9989 | val_f1=0.7309
[loso_test_p1_val_p2] radar_stnet epoch 007/30 | train_loss=0.1386 | train_acc=0.9992 | val_f1=0.7252
[loso_test_p1_val_p2] radar_stnet epoch 008/30 | train_loss=0.1382 | train_acc=0.9993 | val_f1=0.7484
[loso_test_p1_val_p2] radar_stnet epoch 009/30 | train_loss=0.1376 | train_acc=0.9993 | val_f1=0.7305
[loso_test_p1_val_p2] radar_stnet epoch 010/30 | train_loss=0.1361 | train_acc=0.9996 | val_f1=0.7469
[loso_test_p1_val_p2] radar_stnet epoch 011/30 | train_loss=0.1362 | train_acc=0.9996 | val_f1=0.7520
[loso_test_p1_val_p2] radar_stnet epoch 012/30 | train_loss=0.1359 | train_acc=0.9996 | val_f1=0.8503
[loso_test_p1_val_p2] radar_stnet epoch 013/30 | train_loss=0.1351 | train_acc=0.9998 | val_f1=0.8248
[loso_test_p1_val_p2] radar_stnet epoch 014/30 | train_loss=0.1354 | train_acc=0.9996 | val_f1=0.8616
[loso_test_p1_val_p2] radar_stnet epoch 015/30 | train_loss=0.1350 | train_acc=0.9997 | val_f1=0.8372
[loso_test_p1_val_p2] radar_stnet epoch 016/30 | train_loss=0.1344 | train_acc=0.9998 | val_f1=0.9051
[loso_test_p1_val_p2] radar_stnet epoch 017/30 | train_loss=0.1344 | train_acc=0.9998 | val_f1=0.7811
[loso_test_p1_val_p2] radar_stnet epoch 018/30 | train_loss=0.1344 | train_acc=0.9998 | val_f1=0.7671
[loso_test_p1_val_p2] radar_stnet epoch 019/30 | train_loss=0.1341 | train_acc=0.9999 | val_f1=0.8355
[loso_test_p1_val_p2] radar_stnet epoch 020/30 | train_loss=0.1341 | train_acc=0.9999 | val_f1=0.8329
[loso_test_p1_val_p2] radar_stnet epoch 021/30 | train_loss=0.1341 | train_acc=0.9999 | val_f1=0.8623
[loso_test_p1_val_p2] radar_stnet epoch 022/30 | train_loss=0.1338 | train_acc=1.0000 | val_f1=0.8285
[loso_test_p1_val_p2] radar_stnet epoch 023/30 | train_loss=0.1338 | train_acc=1.0000 | val_f1=0.9198
[loso_test_p1_val_p2] radar_stnet epoch 024/30 | train_loss=0.1337 | train_acc=1.0000 | val_f1=0.8751
[loso_test_p1_val_p2] radar_stnet epoch 025/30 | train_loss=0.1338 | train_acc=1.0000 | val_f1=0.8640
[loso_test_p1_val_p2] radar_stnet epoch 026/30 | train_loss=0.1337 | train_acc=1.0000 | val_f1=0.8976
[loso_test_p1_val_p2] radar_stnet epoch 027/30 | train_loss=0.1336 | train_acc=1.0000 | val_f1=0.8956
[loso_test_p1_val_p2] radar_stnet epoch 028/30 | train_loss=0.1336 | train_acc=1.0000 | val_f1=0.8905
[loso_test_p1_val_p2] radar_stnet epoch 029/30 | train_loss=0.1336 | train_acc=1.0000 | val_f1=0.8907
[loso_test_p1_val_p2] radar_stnet epoch 030/30 | train_loss=0.1336 | train_acc=1.0000 | val_f1=0.8918

=== loso_test_p2_val_p3 | stats_svm ===
train=[1, 4, 5, 6, 7], val=[3], test=[2]

=== loso_test_p2_val_p3 | stats_rf ===
train=[1, 4, 5, 6, 7], val=[3], test=[2]

=== loso_test_p2_val_p3 | stats_knn ===
