variant,degradation,level,seed,sample_accuracy,sample_macro_f1,sample_weighted_f1,sample_count,trial_accuracy,trial_macro_f1,trial_count
no_transformer,missing,0.0,0,0.8829908675799086,0.8674996257170052,0.8674996257170053,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.1,0,0.8821537290715373,0.8675634714458912,0.8675634714458913,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.1,1,0.882572298325723,0.8682276552658689,0.8682276552658689,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.1,2,0.8828767123287671,0.8683928879913724,0.8683928879913725,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.2,0,0.883675799086758,0.8702337848050543,0.8702337848050542,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.2,1,0.8839421613394216,0.8704776969575917,0.8704776969575915,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.2,2,0.8834094368340943,0.870067518450538,0.8700675184505381,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.3,0,0.8843607305936073,0.8721025474656962,0.8721025474656964,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.3,1,0.8840943683409437,0.8717710561942745,0.8717710561942745,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.3,2,0.8837138508371385,0.8714807022886116,0.8714807022886116,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.4,0,0.8845890410958904,0.873914684403829,0.873914684403829,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.4,1,0.8852359208523592,0.874558194708148,0.8745581947081479,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.4,2,0.8850076103500761,0.8743261578559075,0.8743261578559075,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.5,0,0.8856164383561644,0.8770240017560612,0.877024001756061,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.5,1,0.8854261796042618,0.8766170222982149,0.8766170222982148,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.5,2,0.8865677321156773,0.8777895207879418,0.8777895207879419,26280,0.9,0.8666666666666666,30
no_transformer,missing,0.6,0,0.8874048706240487,0.8811059461703538,0.8811059461703539,26280,0.9333333333333333,0.925,30
no_transformer,missing,0.6,1,0.8877473363774734,0.8816494745259981,0.8816494745259982,26280,0.9333333333333333,0.925,30
no_transformer,missing,0.6,2,0.8867579908675799,0.880537466912708,0.8805374669127078,26280,0.9333333333333333,0.925,30
no_transformer,missing,0.7,0,0.8890030441400304,0.885835441187902,0.8858354411879019,26280,0.9666666666666667,0.9657142857142856,30
no_transformer,missing,0.7,1,0.8909056316590563,0.8877782785231488,0.887778278523149,26280,0.9666666666666667,0.9657142857142856,30
no_transformer,missing,0.7,2,0.8895738203957382,0.8864116658990744,0.8864116658990745,26280,0.9666666666666667,0.9657142857142856,30
no_transformer,noise,0.0,0,0.8829908675799086,0.8674996257170052,0.8674996257170053,26280,0.9,0.8666666666666666,30
no_transformer,noise,0.01,0,0.8834474885844749,0.8677351868565862,0.8677351868565862,26280,0.9,0.8666666666666666,30
no_transformer,noise,0.01,1,0.8830289193302892,0.8671770282304511,0.8671770282304511,26280,0.9,0.8666666666666666,30
no_transformer,noise,0.01,2,0.8829908675799086,0.8671307562981039,0.867130756298104,26280,0.9,0.8666666666666666,30
no_transformer,noise,0.02,0,0.8824581430745815,0.8656395112757884,0.8656395112757885,26280,0.9,0.8666666666666666,30
no_transformer,noise,0.02,1,0.882724505327245,0.8662148930479423,0.8662148930479424,26280,0.9,0.8666666666666666,30
no_transformer,noise,0.02,2,0.8828386605783866,0.8663043043324452,0.8663043043324453,26280,0.9,0.8666666666666666,30
no_transformer,noise,0.05,0,0.8748477929984779,0.8528297736184351,0.852829773618435,26280,0.9,0.8666666666666666,30
no_transformer,noise,0.05,1,0.8754946727549467,0.8544561413327811,0.8544561413327811,26280,0.9,0.8666666666666666,30
no_transformer,noise,0.05,2,0.8751902587519026,0.8534208496331676,0.8534208496331676,26280,0.9,0.8666666666666666,30
no_transformer,noise,0.08,0,0.8579528158295282,0.8308185319668672,0.8308185319668674,26280,0.9,0.8666666666666666,30
no_transformer,noise,0.08,1,0.8576864535768646,0.8305845798878757,0.8305845798878758,26280,0.9,0.8666666666666666,30
no_transformer,noise,0.08,2,0.8581811263318113,0.8312330950352793,0.8312330950352794,26280,0.9,0.8666666666666666,30
no_transformer,noise,0.1,0,0.8350076103500761,0.802439162038468,0.802439162038468,26280,0.8666666666666667,0.8323809523809522,30
no_transformer,noise,0.1,1,0.8352739726027397,0.80285150691642,0.80285150691642,26280,0.9,0.8666666666666666,30
